Title,Also Known As,Written By,Director,Cast,Genre,Network,Episodes,Release Dates,Poster,Description
Babel (TV series),Tower of Babel,"Kwon Soon-won
Park Sang-wook",Yoon Sung-sik,"Park Si-hoo
Jang Hee-jin","Melodrama
Revenge",TV Chosun,16,"January 27 –
March 24, 2019",N/A,The story of a prosecutor who would do anything to achieve his revenge and an actress who loses everything after marrying into a rich family.
Queen: Love and War,N/A,Choi Soo-mi,Kim Jung-min,"Jin Se-yeon
Kim Min-kyu
Do Sang-woo
Lee Yul-eum
Lee Si-eon","Historical
Fantasy
Romance",TV Chosun,16,"December 14, 2019 –
February 9, 2020",N/A,"Kang Eun-Ki (Jin Se-yeon) becomes the Queen of Joseon. During their Wedding Day Parade, Eun-Ki and Lee Kyung (Kim Min-kyu) are ambushed and shot by assassins. Both Royals are assumed to have been killed, however, the night after the bullet is removed from the king's head and he is laid to rest under the guard of the priestesses, the dead king resurrects while Kang Eun-Ki's twin sister, Kang Eun-bo, is acting under the guise of an assistant to the Chief Priestess to gain answers about the murderers.
Assuming the King's death, the Great Queen Dowager Min (Jung Ae-ri) is presented with a candidate for a new King by the Left State Minister, Jo Heung-Gyeon (Lee Jae-yong) who embarks immediately to retrieve the exiled Prince Lee Jae-Hwa (Do Sang-woo). Upon their return to the palace, the Left State Minister and Prince are both shocked and angry to learn that the king is still alive and recovering, but cover it well and go their separate ways. 
The father of the dead queen, Kang Yi-Soo (Lee Ki-young) due to the politics in the palace is accused of treason after having been discovered for writing the Theory of Enlightenment and indoctrinating his daughter. Lee Kyung doesn't believe the conspiracy and attempts to save Kang Yi-Soo with a secret jailbreak that ends up ruined by another member of the court. Kang Yi-Soo swears his loyalty to Lee Kyung in the end and 
chooses to accept the sentence of death by hanging to save Lee Kyung from any further political battle. Unable to find the Queen's murderers in time or clear their father's name Kang Eun-Bo is helpless to watch in the crowd of spectators, Kang Yi-soo notices her in the crowd in his final moments and smiles at her. 
Taking a chance at revenge Eun-Bo goes to Kang Yi-Soo's closest friend and the only person outside their family who knew about the twin daughters, Baek Ja-Yong (Um Hyo-sup) she recklessly demands to know of any way to kill the king. He takes her in to recover from her grief and later reveals Kang Yi-Soo's vision to her and promises that he will help Eun-Bo see her mother again if she can help him take revenge on the king for the death of her father. Longing to see her last remaining family, she agrees and becomes caught in the middle of discovering who is responsible for the death of her sister and father.
The palace begins to look for a new queen for Lee Kyung to calm down the unrest in the court and any rumors concerning the king's behavior after his resurrection. With anger and determination to find the mastermind behind the murder of her twin sister, Eun-bo participates in the selection under the name Hong-yeon, daughter of Gyeong-gi Governor Hong Ki-ho. The closer they get to each other Lee Kyung begins to have vivid dreams,precognitiondue to which he is able to predict what may happen to Eun-bo in the near future. What does the palace hold for Eun-bo? Will she be able to win the selection and capture the assassins?"
Gu Family Book,"The Love Story of Kang Chi
Kang Chi, the Beginning
Gu Family's Secret
The Writings of Nine Houses
Book of the House of Gu
The Fox Family Book",Kang Eun-kyung,"Shin Woo-chul
Kim Jung-hyun","Lee Seung-gi
Bae Suzy
Sung Joon
Lee Yu-bi
Yoo Yeon-seok","Historical
Romance
Action
Fantasy",MBC TV,24,"April 8 –
June 25, 2013",N/A,"After their nobleman father is unfairly accused of being a traitor and killed, Yoon Seo-hwa (Lee Yeon-hee), her younger brother Jung-yoon (Lee David) and their maid Dam (Kim Bo-mi) are sent to agisaenghouse. Seo-hwa's first ""patron"" is Jo Gwan-woong (Lee Sung-jae), the man who betrayed and killed her father. Before Jo Gwan-woong arrives, Dam swaps clothes with Seo-hwa so that she can run away, chased by Gwan-woong's men. Gu Wol-ryung (Choi Jin-hyuk), a mystical forest protector andgumiho, finds Seo-hwa unconscious and, as he had fallen in love with her, protects her. When Seo-hwa wakes up, she too falls in love with him and marries him after he tells her that both Dam and Jung-yoon were able to run away and are safe. Actually, Jung-yoon has been hanged whereas Dam has committed suicide, but Wol-ryung, unable to tell her the truth, lied to her and did not tell her that he is agumiho."
My Dearest Nemesis,N/A,Kim Soo-yeon,Lee So-hyun,"Moon Ga-young
Choi Hyun-wook
Im Se-mi
Kwak Si-yang",Romantic comedy,tvN,12,"February 17 –
March 24, 2025",N/A,"It tells the story of Ban Ju-yeon (played by Choi) and Baek Su-jeong (played by Moon) who first meet via their online game characters during their school days, then meet again in real life as boss and employee 16 years later.[3]"
King the Land,N/A,Choi Rom[3],Im Hyun-wook[3],"Lee Jun-ho
Im Yoon-ah",Romantic comedy[1],JTBC,16,"June 17 –
August 6, 2023",N/A,"King the Landtells the story of Gu Won who is the heir of The King Group, a luxury hotel conglomerate, who was thrown into an inheritance war, and Cheon Sa-rang, a hotelier who always has a smile on her face till she meets Gu Won."
Our Unwritten Seoul,N/A,Lee Kang,Park Shin-woo [ko],"Park Bo-young
Park Jin-young
Ryu Kyung-soo","Coming-of-age[1]
Romance[1]","tvN
Netflix",12,"May 24 –
June 29, 2025",N/A,"Yoo Mi-ji and Yoo Mi-rae are identical twins of opposite personalities and lifestyles. Mi-ji was a promisingsprinter, but she has now quit sports due to an injury and is living a free-spirited life in her hometown of Duson-ri, taking care of her grandmother without a plan for her future. Mi-rae has always been a model student and is a perfectionist working at a public corporation in Seoul. When Mi-ji finds out that her sister is struggling withworkplace bullying, she suggests that they swap places for a few months.[6]"
Color Rush (web series),N/A,N/A,N/A,"Yoo Jun
Hur Hyun-jun
Hyuk","BL
Romance
Mystery",N/A,16,"December 30, 2020 –
2022",N/A,
Dal Soon's Spring,N/A,Moon Young-hoon,Shin Chang-suk,"Hong Ah-reum
Yun Da-yeong
Song Won-seok
Kang Dal-bin","Period drama
Romance
Family drama
Melodrama",KBS2,129,"August 14, 2017 –
February 9, 2018",N/A,"The story of a human drama about Dal-soon, who grew up knowing the enemy who killed his father as his father and was abandoned by him due to a tragedy of the times, who unravels the truth of his past and succeeds as a shoemaker.."
"Ms. Ma, Nemesis",N/A,Park Jin-woo,"Min Yeon-hong
Lee Jung-hoon","Yunjin Kim
Jung Woong-in
Ko Sung-hee
CNU","Mystery
Revenge",SBS TV,32[a],"October 6 –
November 24, 2018",N/A,Ms. Ma is sent to jail after being accused of killing her daughter. She escapes in order to find the real murderer and starts solving other  cases.
The Killer's Shopping List,The Murderer's Shopping List,Han Ji-wan[1],Lee Eon-hee[1],"Lee Kwang-soo
Kim Seol-hyun
Jin Hee-kyung","Comedy
Mystery
Thriller",tvN,8,"April 27 –
May 19, 2022",N/A,It tells the story of Ahn Dae-sung (Lee Kwang-soo) and Do Ah-hee (Kim Seol-hyun) setting out to find the murderer after a body was found near the apartment where Ah-hee resides.
Rookie Historian Goo Hae-ryung,N/A,Kim Ho-soo,"Kang Il-soo
Han Hyun-hee","Shin Se-kyung
Cha Eun-woo","Historical
Romance
Drama
Comedy",MBC TV,20[note 1],"July 17 –
September 26, 2019",N/A,"The scenario intertwines two storylines. One of them occurs in a ""nowadays"" placed in the early 19th century[a]of Joseon. The other occurs twenty years earlier (white horse year, 1810[b]). The first one is treated lightly, in theSungkyunkwan Scandalvein, with caricatures[c], jokes, gimmicks, students fights,  etc. The second one, only depicted by short flash-backs, is about the unjust situation of the rank and file people,[d]and the brutal suppression of anyone who embraces Western ideas."
Beyond Evil (TV series),N/A,Kim Su-jin,Shim Na-yeon,"Shin Ha-kyun
Yeo Jin-goo","Procedural
Psychological thriller",JTBC,16,"February 19 –
April 10, 2021",N/A,"Beyond Evilfollows the story of two fearless policemen from the Manyang Police Substation[a]of the Munju Police Station (located in the western part ofGyeonggi Province), Lee Dong-sik (Shin Ha-kyun) and Han Joo-won (Yeo Jin-goo), who break the law to catch a serial killer. In the course of uncovering the culprit's identity, they question the innocence of everyone involved in the case, including themselves. ""Who is the monster?"" ""Is it you?"" ""Is it me?"" ""Is it us?"""
Lights and Shadows (TV series),Light and Shadow,Choi Wan-kyu,Lee Joo-hwan,"Ahn Jae-wook
Nam Sang-mi
Lee Pil-mo
Son Dam-bi","Romance
Drama
Musical
Period drama",Munhwa Broadcasting Corporation,64,"November 28, 2011 –
July 3, 2012",N/A,It tells the story of Kang Ki-tae who came from a wealthy family and became the first national entertainer during theVietnam Warin the 1970s and 1980s.[2]
Smile Again (2006 TV series),N/A,Yoon Sung-hee,Hong Sung-chang,"Kim Hee-sun
Lee Dong-gun
Lee Jin-wook","Romance, Drama",Seoul Broadcasting System,16,"May 17 –
July 6, 2006",N/A,"Ban Ha-jin is calculating and ambitious. Even though he's an orphan and a high school drop out, he will use any means to fulfill his ambition. Through coincidence, he meets Yoon Jae-myung at a bar inSwitzerland. Jae-myung is a popular formerbaseballplayer who went to the same high school as he did, and Ha-jin manipulates a series of events to become Jae-myung's best friend. He also runs into Oh Dan-hee, the girl he loved and hurt in high school."
Goodbye Mr. Black,N/A,Moon Hee-jung,"Han Hee [ko]
Kim Seong-wook","Lee Jin-wook
Moon Chae-won
Yoo In-young
Kim Kang-woo
Song Jae-rim","Thriller
Drama
Romance",MBCTV,20,"March 16 –
May 19, 2016",N/A,"Cha Ji-won is aNavy SEALdemolitions officer, but he is betrayed by his best friend, then denounced as a traitor. Ji-won is sent to another country, but escapes and returns with a new identity, along with a ""fake"" wife, to take revenge."
Lie to Me (2011 TV series),N/A,Kim Ye-ri,"Kim Soo-ryung
Kwon Hyuk-chan","Kang Ji-hwan
Yoon Eun-hye
Sung Joon
Jo Yoon-hee","Romance
Comedy
Drama",SBS (South Korea),16,"9 May –
28 June 2011",N/A,"Gong Ah-jung (Yoon Eun-hye) is a government employee of the Ministry of Culture, Sports and Tourism. At the beginning of the series, Ah-jung lies to an antagonistic friend about being married to not lose face in front of her. The lie quickly snowballs (due to several misunderstandings) until Ah-jung realizes that everyone is gossiping about her supposed, secret marriage to Hyun Ki-joon (Kang Ji-hwan), the wealthy president of World Hotel."
Red Balloon (TV series),N/A,Moon Young-nam[1],"Jin Hyung-wook[1]
Lee Seung-hoon","Seo Ji-hye
Lee Sung-jae
Hong Soo-hyun
Lee Sang-woo
Jung Yoo-min","Family drama[1]
Melodrama",TV Chosun,20,"December 17, 2022 –
February 26, 2023",N/A,"Jo Eun-kang and her circle of friends and relatives wishes to fulfill their goals after having prior setbacks. Together, they find themselves entangled in multiple conflicts and affairs."
Doctor John (TV series),N/A,Kim Ji-woon,"Jo Soo-won [ko]
Kim Young-hwan
Lee Gye-joon","Ji Sung
Lee Se-young
Lee Kyu-hyung
Hwang Hee",Medical drama,SBS TV,16[a],"July 19 –
September 7, 2019",N/A,"Cha Yo-han (Ji Sung) is a doctor of anesthesiology. He acts strangely sometimes, but he is a genius at his work. Kang Shi-young (Lee Se-young) is a resident of anesthesiology who works with Cha Yo-han. She is smart, warm and listens carefully to her patients. People with mysterious acute or chronic pain come to the hospital. There, Cha Yo-han and Kang Shi-young try to find the causes of their pain and treat them."
Rich Man (TV series),"Rich Man, Poor Woman","Hwang Jo-yoon
Park Jung-ye",Min Doo-sik,"Kim Jun-myeon
Ha Yeon-soo
Oh Chang-seok
Kim Ye-won",Romance comedy,"MBN
Dramax",16 (+ 1 special),"May 9 –
June 28, 2018",N/A,"This is a romance story about Lee Yoo-chan (Kim Jun-myeon), a genius programmer and CEO of IT company Next In who can't recognize the face of his first love, Kim Boon-hong, because of hisfacial recognition disabilityand Kim Bo-ra (Ha Yeon-soo), a college student who has anAlphaGo-like memory and is an aspiring job-seeker.[2]At a recruitment meeting for dozens of people aspiring to work at Next In, Yoo-chan humiliates many of the attendees and in particular picks on Bo-ra, even after she spectacularly demonstrates her remarkable memory.  But instead of slinking away like many of the applicants, she stands up to him. Just before he makes her leave, after sarcastically nicknaming her the ""Queen of Rote Memory"", she tells him that her name is Kim Boon-hong. This troubles Yoo-chan.  A couple of days later, Next In executives decide they need to employ someone with aphotographic memory.  They search for Kim Boon-hong's resume but although they cannot find it at first, Min Tae-joo (Oh Chang-suk), Yoo-chan's friend and company co-founder, recognizes Bo-ra's photograph. This leads to a short-term offer of a job to Bo-ra."
Misty (TV series),N/A,Jae In (Jane Jae-in Kim)[1],Mo Wan-il,"Kim Nam-joo
Ji Jin-hee","Melodrama
Mystery
Thriller
Romance",JTBC,16,"February 2 –
March 24, 2018",N/A,Go Hye-ran (Kim Nam-joo) becomes the prime suspect in a murder case. Her husband Kang Tae-wook (Ji Jin-hee) ends up being her legal counsel despite their marriage being on the rocks after she aborted their unborn child and value career over family.
49 Days,Pure Love,So Hyun-kyung,Jo Young-kwang,"Lee Yo-won
Nam Gyu-ri
Jung Il-woo
Jo Hyun-jae
Bae Soo-bin
Seo Ji-hye","Romance
Melodrama
Fantasy
Body swap",SBS TV,20,"March 16 –
May 19, 2011",N/A,"Gullible yet cheerful Shin Ji-hyun (Nam Gyu-ri) is living a perfect life: she is the only daughter of wealthy, doting parents and is surrounded by supportive best friends. She is also engaged to be married to the perfect man, Kang Min-ho (Bae Soo-bin), in just a few weeks.  Meanwhile, Song Yi-kyung (Lee Yo-won) is in an existential crisis following her boyfriend's tragic death. She works third shift at a convenience store, sleeps in the afternoon, and often spends what little time she has left in the day contemplating suicide."
Military Prosecutor Doberman,N/A,Yoon Hyun-mo[1],Jin Chang-gyu[1],"Ahn Bo-hyun
Jo Bo-ah","Military[1]
Legal[1]",tvN,16,"February 28 –
April 26, 2022",N/A,"Military Prosecutor Dobermantells the story of Do Bae-man (Ahn Bo-hyun), who initially became a military prosecutor for money and fame as well as revenge against those that killed his parents where he looks forward to his retirement day, as well as Cha Woo-in (Jo Bo-ah), who was born into achaebolfamily and who subsequently became a military prosecutor for revenge."
Top Star U-back,N/A,"Lee Si-eun
Lee So-jeong",Yoo Hak-chan,"Kim Ji-seok
Jeon So-min
Lee Sang-yeob",Romantic comedy,tvN,11,"November 16, 2018 –
January 25, 2019",N/A,"The story of a narcissistic, former idol andA-listactor who is banished to a remote island after causing some major trouble. While struggling to adapt to his new surroundings, he eventually strikes up a romance with an islander who has very little in common."
Avengers Social Club,N/A,"Kim Yi-ji
Sajatokki (original)","Kwon Seok-jang (1–4)
Kim Sang-ho (5–12)","Lee Yo-won
Ra Mi-ran
Myung Se-bin
Lee Jun-young","Drama
Comedy
Friendship",tvN,12,"October 11 –
November 16, 2017",N/A,"Features three women and one man from different walks of life coming together for revenge: a fish store ajumma who envisioned a better life for herself, a housewife who grew up an orphan, a chaebol magnate's daughter who was raised like a delicate flower and a young man who was neglected by his parents. They're an unlikely foursome who would never otherwise meet, but they join forces to carry out their individual revenges. Although they start out as co-conspirators, along the way they become close to one another."
No Way Out: The Roulette,N/A,Lee Soo-jin,"Choi Kook-hee
Lee Hoo-bin[1]","Cho Jin-woong
Yoo Jae-myung
Kim Mu-yeol
Yum Jung-ah
Sung Yoo-bin
Greg Hsu
Lee Kwang-soo
Kim Sung-cheol","Mystery
Thriller",U+ Mobile TV,8,"July 31 –
August 21, 2024",N/A,"No Way Out: The Rouletteis about a police officer who is forced to protect a criminal in an ironic situation, a murderer released from prison after 13 years with a bounty on his head, a lawyer who becomes a criminal's legal representative in order to succeed, a mayor who uses criminals to save her political life, a son who lives with the stigma of being the child of a murderer, a killer who comes to Korea for pay, and a mysterious figure who puts a bounty on a criminal."
Wonderful Life (2005 TV series),N/A,Jin Soo-wan,"Lee Chang-han
Jo Soo-won","Kim Jaewon
Eugene
Lee Ji-hoon
Han Eun-jung
Jung Da-bin","Romance
Comedy
Drama
Family",Munhwa Broadcasting Corporation,16,"March 7 –
April 26, 2005",N/A,"Han Seung-wan (Kim Jaewon) travels toSingaporeto visit his first love, Lee Chae-young (Han Eun-jung). At the airport, he bumps into a young woman named Jung Se-jin (Eugene), and they accidentally swap passports. While Se-jin is on her way to the address listed on Seung-wan's passport, she meets Min Do-hyun (Lee Ji-hoon), who kindly gives her a piggyback ride. When Seung-wan and Se-jin finally meet at Chae-young's apartment, Seung-wan agrees to give back Se-jin's passport on the condition that she help him track down his missing girlfriend. To Seung-wan's shock, they discover that Chae-young is in a relationship with Do-hyun, whom she'd met in Australia. Heartbroken, Seung-wan goes drinking with Se-jin and turns to her for comfort, and they end up having aone-night standin a hotel inSentosa.[1]"
Love Scout,N/A,Ji Eun,"Ham Joon-ho
Kim Jae-hong","Han Ji-min
Lee Joon-hyuk
Kim Do-hoon
Kim Yoon-hye","Romance drama
Workplace",SBS TV,12 + 2 special,"January 3 –
February 14, 2025",N/A,"Kang Ji-yoon is a successful and ambitious woman who serves as the CEO of theheadhuntingcompany Peoplez. Ji-yoon is totally committed to her work and does a great job, but finds it difficult to balance her personal and professional lives. She surprisingly meets Yoo Eun-ho, a competent and skilled secretary who is also a single father. Ji-yoon finds Eun-ho impressive not only for his professional skills but also for his ability to manage work and family life with ease."
Angel's Last Mission: Love,N/A,Choi Yoon-kyo,Lee Jung-sub,"Shin Hye-sun
Kim Myung-soo
Lee Dong-gun
Kim Bo-mi
Do Ji-won
Kim In-kwon","Romance
Fantasy",KBS2,32[a],"May 22 –
July 11, 2019",N/A,"Lee Yeon-seo (Shin Hye-sun) is a talented and successful ballerina who can say anything that she wants with her family's Fantasia Ballet Company, but suffers a devastating accident during acting on stage that leaves her blind. She is bitter and abusive towards her staff, including her loyal secretary and butler as well as her sly family. Dan (Kim Myung-soo) is an optimistic, carefree angel who is always getting into trouble. Wanting to return to heaven, he seems to be given the impossible mission of finding true love for Yeon-seo, but ends up falling for her himself.[3]"
Evergreen (TV series),N/A,Jung Yoo-sun,Nam Gi-hoon,"Lee Jong-hyun
Kim So-eun","Fantasy
Romantic comedy",OCN,16,"March 5 –
April 24, 2018",N/A,"The story of two people who fall in love with each other due to a ""cupid"" that possesses magical pollen."
Hi! School: Love On,High School: Love On,Lee Jae-yeon,"Sung Joon-hae
Lee Eun-mi","Kim Sae-ron
Nam Woo-hyun
Lee Sung-yeol","Romance
School
Supernatural
Teen
Comedy",KBS2,20,"July 11 –
December 19, 2014",N/A,"Sung-yeol and Woo-hyun are two 18-year-old boys who are both tormented by the emotional scars of broken families; Woo-hyun longs to see again his mother who left him as a child, while Sung-yeol lives with a stepmother that he detests and whom he blames for the break up of his parents' marriage. Both are considered asocial byKorean norms, although popular, brave and public spirited Woo-hyun drifts through school refusing to apply himself to his studies; Sung-yeol is studious and does well academically but is dismissive and disrespectful of his parents, aloof and detached from his classmates, appearing cold and arrogant to all. The lives of the two crash together when an angel falls from heaven.[5]"
Love Again (TV series),N/A,Kim Eun-hee,Hwang In-roi,"Kim Ji-soo
Ryu Jung-han
Choi Cheol-ho
Lee Ah-hyun","Drama
Romance",JTBC,16,"April 25 –
June 14, 2012",N/A,"At the reunion of an astronomy club, friends meet again for the first time in 30 years. As they recall their golden days, they start having feelings for each other."
The Family is Coming,"Here Comes Family!
Family Outing",Kim Shin-hye,Joo Dong-min,"Lee Jung-hyun
Jin Yi-han
Oh Sang-jin
Park Won-sook","Family
Romance
Comedy
Drama",SBS,20,"January 3 –
March 15, 2015",N/A,"After 50 years living in Hollywood, Jung Kkeut-soon returns to Korea to reconnect with her family. As family members scramble to compete over her ₩20 billion inheritance, they learn emotional growth and reconciliation."
The Woman Who Swallowed the Sun,N/A,Seol Kyung-eun,Kim Jin-hyun,"Jang Shin-young
Seo Ha-joon
Yoon A-jung
Oh Chang-seok","Melodrama
Revenge
Romance
Crime thriller",MBC TV,90,"June 9, 2025 –
present",N/A,"A drama depicting the desperate revenge of a woman who, in the name of her only daughter, takes on a chaebol family in a world where victims are made to appear as perpetrators."
Ballad of Seodong,"Ballad of Suhdong
Seodong's Song
Song of the Prince",Kim Young-hyun,Lee Byung-hoon MBC,"Jo Hyun-jae
Lee Bo-young
Ryu Jin","Period drama
Romance
Drama",Seoul Broadcasting System,55,"5 September 2005 –
21 March 2006",N/A,"Seodongis just a commoner, a technician who grew up inBaekje's prestigious science and technology institute Taehaksa, but his life is on the brink of extraordinary change. He meets and falls forPrincess Seonhwaof the rival kingdomSilla, and his love for her transcends social position. Seodong also carries a secret that could alter the fate of the Baekje kingdom, but his rival Sataek Giru plots with Buyeo Seon to disrupt his plans.[4]"
Light Shop,Lightshop Keeper[1][2],Kang Full,Kim Hee-won,"Ju Ji-hoon
Park Bo-young
Kim Seol-hyun
Bae Seong-woo
Uhm Tae-goo
Lee Jung-eun
Kim Min-ha
Park Hyuk-kwon
Kim Dae-myung
Shin Eun-soo
Kim Sun-hwa [ko]
Kim Ki-hae","Mystery
Horror",Disney+,8,"December 4 –
December 18, 2024",N/A,"The series follows the story of a group of strangers who are all having a hard time processing a horrible experience from their past. Each of them is going about their normal lives when they are all strangely pulled to a light shop located at the end of a dubious alleyway. A cautious shopkeeper guards the light shop, which may contain the key to the strangers' pasts, present, and futures.[5]"
About Time (TV series),N/A,Chu Hye-mi,"Kim Hyung-sik
Park Shin-woo","Lee Sang-yoon
Lee Sung-kyung","Fantasy
Romance
Melodrama",tvN,16,"May 21 –
July 10, 2018",N/A,"Choi Michaela (Lee Sung-kyung) is an aspiring musical actress who has the special ability to see people's life spans. One day, while she's heading off to an audition, she becomes involved in a minor car accident and meets Lee Do-ha (Lee Sang-yoon), achaebolson and the president of cultural foundation MK Entertainment. After an unexpected discovery that her life clock stops whenever she's with him, she becomes determined to keep him close at all costs. Things take an interesting and painful turn as the two begin to fall in love."
The Lies Within,N/A,"Jeon Young-sin
Won Yoo-jung",Lee Yoon-jung,"Lee Min-ki
Lee Yoo-young",Thriller[1],OCN,16,"October 12 –
December 1, 2019",N/A,The story of a woman who joins the National Assembly and teams up with a detective to save her husband after he abruptly disappears following the sudden death of her father.[4][5]
Psychopath Diary,N/A,"Choe Sung-jun
Kim Hwan-chae
Ryu Yong-jae",Lee Jong-jae,"Yoon Shi-yoon
Jung In-sun
Park Sung-hoon","Comedy
Thriller[1]",tvN,16,"November 20, 2019 –
January 9, 2020",N/A,"Yook Dong-sik (Yoon Shi-yoon), an analyst who works at Daehan Securities, has a timid personality. He can't even get angry at the people who look down upon him. One day, shortly after failing on his attempt of suicide, he witnesses a murder. He unintentionally picks up a diary belonging to the murderer, on which was written the log of his murders. He flees with the diary, but he is accidentally hit by Police Officer Shim Bo-kyung's (Jung In-sun) patrol car which causes him to suffer fromretrograde amnesia. Due to the diary in his possession, Dong-sik mistakenly believes he is a psychopath. Since that moment, his behavior started to change. Bo-kyung, who got involved with Dong-sik, decides to catch the serial killer."
My Only One (TV series),N/A,Kim Sa-Kyung[1],Hong Seok-Ku,"Choi Soo-jong
Uee
Lee Jang-woo
Yoon Jin-yi
Jung Eun-woo
Na Hye-mi
Park Sung-hoon","Family
Melodrama
Snob Drama",KBS2,106[a][b],"September 15, 2018 –
March 17, 2019",N/A,"The drama begins with Kim Do-ran living with her foster parents. Her mother had passed away shortly after her birth and her father was jailed 28 years ago. Do-ran's foster father and her father were friends since childhood. After learning that his childhood friend had asked his landlady to put his daughter, Do-ran in an orphanage, he brought Do-ran home. Do-ran's foster father hid the truth about her father from her and his own family. He treated Do-ran very well and ensured she had a good education. Because of this, Do-ran was treated unfairly by her envious foster sister, Mi-ran, and her foster mother who never regarded her as her own daughter."
Reply (TV series),N/A,"Lee Woo-jung (season 1–3)
Lee Sun-hye (season 1)
Kim Ran-joo (season 1)",Shin Won-ho,See below,"Coming-of-age
Comedy
Romance
Family drama",tvN,57 + 3 special,"July 24, 2012 –
January 16, 2016",N/A,"Reply (Korean: 응답하라) is a South Korean anthology television series directed by Shin Won-ho with teleplay by Lee Woo-jung that premiered in 2012 on cable network tvN.[1] It revolves around a group of friends, as the timeline moves back and forth between their past and present selves.[2][3]"
Dare to Love Me (TV series),N/A,Park Yu-mi[2],Jang Yang-ho[2],"Kim Myung-soo
Lee Yoo-young",Romantic comedy[1],KBS2,16,"May 13 –
July 2, 2024",N/A,
The Gentlemen of Wolgyesu Tailor Shop,N/A,Goo Hyun-sook,Hwang In-hyuk,"Lee Dong-gun
Jo Yoon-hee
Shin Goo
Cha In-pyo
Choi Won-young
Hyun Woo
Lee Se-young","Family
Drama
Comedy",KBS2,54,"August 27, 2016 –
February 26, 2017",N/A,"The Gentlemen of Wolgyesu Tailor Shopis about a Tailor's shop that has been handed down from father to son and is about 50 years old. The Grandfather is desperate to keep the Tailor shop in the family, however his son is not keen and works for a corporate tailor's. The son is also married to the late Chairman's daughter. Once the Chairman dies, a host of power struggles between his wife and her brother and Stepmother ensue. Meanwhile, the Grandfather of the Tailor's shop decides to go on a sabbatical making made to measure suits for the poor and abandoning the Tailor's shop to his wife, daughter and 2 loyal employees. He leaves a letter asking them to sell the shop as he doesn't have the heart to. Eventually, the shop is placed in the hands of a former employee who agrees to run it until the Grandfather returns. The characters share their friendship as well as love at their workplace. Their values are in a sharp contrast to a corporate company that employs many and is seeped in many power struggles."
No Gain No Love,N/A,Kim Hye-young,Kim Jeong-sik,"Shin Min-a
Kim Young-dae
Lee Sang-yi
Han Ji-hyun",Romantic comedy,tvN,12,"August 26 –
October 1, 2024",N/A,
The Promise (2016 TV series),N/A,"Kim Yoon-shin
Heo In-moo",Jeon Woo-sung,"Lee Yu-ri
Seo Jun-young
Park Ha-na
Song Jong-ho","Melodrama
Revenge",KBS2,102,"February 1 –
June 24, 2016",N/A,"Na-yeon (Lee Yu-ri) is a bright woman. She supports her boyfriend Tae-joon (Seo Jun-young), who is from a poor background, and has even given up entering a university. But Tae-joon dumps her for his success and goes with Se-jin (Park Ha-na), who is the granddaughter of the Baekdo Company president. Do-hee (Lee Yu-ri) is Na-Yeon's twin sister, who was separated from her at birth. Hence, they have never met each other. Do-hee works as a reporter at a weekly magazine, and is the girlfriend of Hwi-kyung (Song Jong-ho), who is the successor of Baekdo Company, and Se-jin's step-uncle. After a series of events, Se-jin's family wrongfully placed Na-yeon in a mental hospital. Do-hee manages to track Na-yeon down, and they switch places. Shortly after, Do-hee dies in Na-yeon's place when the building catches fire. After her death, Na-yeon decides to take revenge. She takes on the identity of Do-hee, then marries Hwi-kyung, stepping into Se-jin's family in the process."
My Mother Is a Daughter-in-law,The Mother and the Daughter-in-law,N/A,Go Heung-shik,"Kim Hye-ri
Shim Yi-young
Kim Jeong-hyeon","Melodrama
Romance
Family
Comedy",SBS,137,"June 22, 2015 –
January 1, 2016",N/A,"Gyeong-sook (Kim Hye-ri) married a wealthy older man when she was 19 years old. After the passing of her antagonistic mother-in-law and the recent death of her husband, she depends on her son Jung-soo (Lee Yong-joon), who is a doctor."
Chip In,N/A,Choi Kyeong,Jin Chang-gyu,"Oh Na-ra
Kim Hye-jun","Mystery
Comedy
Thriller",MBC TV,8,"July 22 –
August 13, 2020",N/A,"A famous painter, Yoo In-ho (Nam Moon-chul) gets diagnosed as terminally ill. On his 58th birthday, he plans to share his last will and testimony. His legacy and immense wealth slowly draw out his family's greed, causing a fierce mental battle amongst them. There are too many people around him who are only after his legacy and wealth, including his ex-wife Ji Sul-young (Kim Jung-young), who has to take care of him, Kim Ji-hye (Oh Na-ra), a former mistress and mother of his only child and daughter, Bit-na (Kim Hye-jun), and his half-brother Dok Ko-chul (Han Soo-Hyun)."
Worlds Within,N/A,Noh Hee-kyung,"Pyo Min-soo
Kim Kyu-tae","Song Hye-kyo
Hyun Bin","Romance
Drama",Korean Broadcasting System,16,"October 27 –
December 16, 2008",N/A,"Jung Ji-oh (Hyun Bin) and Joo Joon-young (Song Hye-kyo) are two people with vastly different backgrounds. Joon-young is a daughter from a rich family who faces problems regarding her mother's gambling habits and affairs with multiple men; while Ji-oh is a son from a poor family of farmers, though he loves his mom dearly. They were lovers back in their college days, but later had a complicated break-up due to their separate relationships with other people."
